"Variable","Before","After","Delta"
"number_emergency",30.9086329924526,2.81310156678402,-28.0955314256686
"number_outpatient",9.41357742921493,2.15579168926256,-7.25778573995237
"number_inpatient",3.79726735831752,0.72197316296191,-3.07529419535561
"discharge_disposition_id",2.53714901602238,0.565762454992127,-1.97138656103025
"admission_type_id",1.60096854516315,0.371733641030612,-1.22923490413254
"num_procedures",1.31534463753048,0.211202799990093,-1.10414183754039
"num_medications",1.31286102276663,0.0173235852323585,-1.29553743753428
"time_in_hospital",1.12999790833361,0.0125077247380801,-1.11749018359553
"admission_source_id",1.02934013739995,-0.0683566194545792,-1.09769675685453
"number_diagnoses",-0.907452464699297,-0.181983884133865,0.725468580565432
"num_lab_procedures",-0.233831848472697,-0.218585394517338,0.0152464539553584
