"Variable","Before","After","Delta"
"number_emergency",30.6543035733205,30.6543035733205,0
"number_outpatient",9.48949224396767,9.48949224396767,0
"number_inpatient",3.75260782604146,0.765010948641058,-2.9875968774004
"discharge_disposition_id",2.5355906009876,0.716820418213623,-1.81877018277398
"admission_type_id",1.59934840424907,0.432012930376114,-1.16733547387295
"num_medications",1.3314147516066,0.0228908634283798,-1.30852388817822
"num_procedures",1.32170045914038,0.349904644717248,-0.971795814423131
"time_in_hospital",1.12349664197221,0.121467226290863,-1.00202941568135
"admission_source_id",1.02829576987916,0.163662178380914,-0.864633591498247
"number_diagnoses",-0.890631430926098,0.239892087653668,1.13052351857977
"num_lab_procedures",-0.232860307581654,0.024315425134275,0.257175732715929
