"Variable","Before","After","Delta"
"number_emergency",2.81310156678402,2.57419494192663,-0.238906624857385
"number_outpatient",2.15579168926256,1.91457482683348,-0.241216862429077
"number_inpatient",0.72197316296191,0.718064378509157,-0.00390878445275256
"discharge_disposition_id",0.565762454992127,0.516908636606418,-0.0488538183857095
"admission_type_id",0.371733641030612,0.238448063763379,-0.133285577267234
"num_lab_procedures",-0.218585394517338,-0.182062298955927,0.0365230955614114
"num_procedures",0.211202799990093,0.133987642662732,-0.0772151573273613
"number_diagnoses",-0.181983884133865,-0.456996015223896,-0.275012131090031
"admission_source_id",-0.0683566194545792,-0.408461293034721,-0.340104673580142
"num_medications",0.0173235852323585,-0.0812452436421127,-0.0985688288744712
"time_in_hospital",0.0125077247380801,-0.0119338598239492,-0.0244415845620292
